period,PD1,D1,Total1,PD2,D2,Total2,PD3,D3,Total3
3/1/1990,0.012195122,1,82,0,0,75,0.142857143,1,7
6/1/1990,0.012195122,1,82,0,0,77,0.2,1,5
9/1/1990,0.012195122,1,82,0.012820513,1,78,0,0,4
12/1/1990,0.035714286,3,84,0.0375,3,80,0,0,4
3/1/1991,0.037037037,3,81,0.025974026,2,77,0.25,1,4
6/1/1991,0.038961039,3,77,0.01369863,1,73,0.5,2,4
9/1/1991,0.04,3,75,0,0,67,0.375,3,8
12/1/1991,0.014084507,1,71,0,0,65,0.166666667,1,6
3/1/1992,0.014084507,1,71,0,0,65,0.166666667,1,6
6/1/1992,0.04109589,3,73,0.014925373,1,67,0.333333333,2,6
9/1/1992,0.028571429,2,70,0.015384615,1,65,0.2,1,5
12/1/1992,0.025974026,2,77,0.013888889,1,72,0.2,1,5
3/1/1993,0.026666667,2,75,0,0,67,0.25,2,8
6/1/1993,0,0,74,0,0,68,0,0,6
9/1/1993,0,0,79,0,0,73,0,0,6
12/1/1993,0,0,81,0,0,75,0,0,6
3/1/1994,0,0,84,0,0,78,0,0,6
6/1/1994,0.011235955,1,89,0,0,83,0.166666667,1,6
9/1/1994,0.011111111,1,90,0,0,85,0.2,1,5
12/1/1994,0.010869565,1,92,0,0,86,0.166666667,1,6
3/1/1995,0.021505376,2,93,0,0,87,0.333333333,2,6
6/1/1995,0.010204082,1,98,0,0,91,0.142857143,1,7
9/1/1995,0.01010101,1,99,0,0,91,0.125,1,8
12/1/1995,0.00990099,1,101,0,0,94,0.142857143,1,7
3/1/1996,0,0,106,0,0,99,0,0,7
6/1/1996,0,0,113,0,0,107,0,0,6
9/1/1996,0,0,111,0,0,108,0,0,3
12/1/1996,0,0,117,0,0,114,0,0,3
3/1/1997,0.008474576,1,118,0,0,114,0.25,1,4
6/1/1997,0.008,1,125,0,0,120,0.2,1,5
9/1/1997,0.007692308,1,130,0,0,123,0.142857143,1,7
12/1/1997,0.014285714,2,140,0.007575758,1,132,0.125,1,8
3/1/1998,0.013071895,2,153,0.013986014,2,143,0,0,10
6/1/1998,0.051282051,8,156,0.048951049,7,143,0.076923077,1,13
9/1/1998,0.086419753,14,162,0.074829932,11,147,0.2,3,15
12/1/1998,0.09202454,15,163,0.0625,9,144,0.315789474,6,19
3/1/1999,0.096385542,16,166,0.042857143,6,140,0.384615385,10,26
6/1/1999,0.05,8,160,0.014492754,2,138,0.272727273,6,22
9/1/1999,0.026490066,4,151,0,0,130,0.19047619,4,21
12/1/1999,0.012987013,2,154,0,0,134,0.1,2,20
3/1/2000,0.006666667,1,150,0,0,133,0.058823529,1,17
6/1/2000,0.013605442,2,147,0.007518797,1,133,0.071428571,1,14
9/1/2000,0.013605442,2,147,0,0,133,0.142857143,2,14
12/1/2000,0.01369863,2,146,0,0,132,0.142857143,2,14
3/1/2001,0.006896552,1,145,0,0,133,0.083333333,1,12
6/1/2001,0,0,150,0,0,139,0,0,11
9/1/2001,0.006711409,1,149,0,0,140,0.111111111,1,9
12/1/2001,0.013422819,2,149,0.00729927,1,137,0.083333333,1,12
3/1/2002,0.01986755,3,151,0.014285714,2,140,0.090909091,1,11
6/1/2002,0.019607843,3,153,0.007142857,1,140,0.153846154,2,13
9/1/2002,0.012903226,2,155,0.006849315,1,146,0.111111111,1,9
12/1/2002,0.006622517,1,151,0,0,136,0.066666667,1,15
3/1/2003,0,0,148,0,0,131,0,0,17
6/1/2003,0,0,153,0,0,138,0,0,15
9/1/2003,0,0,160,0,0,144,0,0,16
12/1/2003,0,0,157,0,0,140,0,0,17
3/1/2004,0,0,161,0,0,144,0,0,17
6/1/2004,0,0,163,0,0,145,0,0,18
9/1/2004,0,0,163,0,0,145,0,0,18
12/1/2004,0.006134969,1,163,0,0,147,0.0625,1,16
3/1/2005,0.00625,1,160,0,0,144,0.0625,1,16
6/1/2005,0.00625,1,160,0,0,144,0.0625,1,16
9/1/2005,0.006329114,1,158,0,0,141,0.058823529,1,17
12/1/2005,0,0,165,0,0,148,0,0,17
3/1/2006,0,0,164,0,0,146,0,0,18
6/1/2006,0,0,171,0,0,151,0,0,20
9/1/2006,0,0,168,0,0,146,0,0,22
12/1/2006,0,0,164,0,0,142,0,0,22
3/1/2007,0,0,167,0,0,140,0,0,27
6/1/2007,0,0,170,0,0,141,0,0,29
9/1/2007,0.011428571,2,175,0.013793103,2,145,0,0,30
12/1/2007,0.016853933,3,178,0.013793103,2,145,0.03030303,1,33
3/1/2008,0.022222222,4,180,0.020833333,3,144,0.027777778,1,36
6/1/2008,0.027777778,5,180,0.020979021,3,143,0.054054054,2,37
9/1/2008,0.033149171,6,181,0.014084507,2,142,0.102564103,4,39
12/1/2008,0.033707865,6,178,0.014184397,2,141,0.108108108,4,37
3/1/2009,0.028248588,5,177,0,0,139,0.131578947,5,38
6/1/2009,0.02247191,4,178,0,0,140,0.105263158,4,38
9/1/2009,0.005617978,1,178,0,0,139,0.025641026,1,39
12/1/2009,0,0,179,0,0,140,0,0,39
3/1/2010,0,0,178,0,0,138,0,0,40
6/1/2010,0,0,182,0,0,140,0,0,42
9/1/2010,0,0,182,0,0,138,0,0,44
12/1/2010,0,0,188,0,0,141,0,0,47
3/1/2011,0.015789474,3,190,0,0,141,0.06122449,3,49
6/1/2011,0.014925373,3,201,0,0,147,0.055555556,3,54
9/1/2011,0.01980198,4,202,0,0,147,0.072727273,4,55
12/1/2011,0.019417476,4,206,0,0,150,0.071428571,4,56
3/1/2012,0.009708738,2,206,0,0,154,0.038461538,2,52
6/1/2012,0.014218009,3,211,0,0,156,0.054545455,3,55
9/1/2012,0.013888889,3,216,0,0,160,0.053571429,3,56
12/1/2012,0.013333333,3,225,0,0,165,0.05,3,60
3/1/2013,0.013100437,3,229,0,0,165,0.046875,3,64
6/1/2013,0.012552301,3,239,0,0,168,0.042253521,3,71
9/1/2013,0.008368201,2,239,0,0,170,0.028985507,2,69
12/1/2013,0.012244898,3,245,0,0,171,0.040540541,3,74
3/1/2014,0.008403361,2,238,0,0,167,0.028169014,2,71
6/1/2014,0.028806584,7,243,0,0,171,0.097222222,7,72
9/1/2014,0.054054054,14,259,0.005714286,1,175,0.154761905,13,84
12/1/2014,0.076628352,20,261,0.011235955,2,178,0.21686747,18,83
3/1/2015,0.120300752,32,266,0.039325843,7,178,0.284090909,25,88
6/1/2015,0.163498099,43,263,0.06741573,12,178,0.364705882,31,85
9/1/2015,0.188461538,49,260,0.063218391,11,174,441860465,38,86
12/1/2015,0.184,46,250,0.02484472,4,161,0.471910112,42,89
3/1/2016,0.155737705,38,244,0,0,157,0.436781609,38,87
